Name,Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,Body,1,1,1,Part_SM_Cast_Simple,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,DELIVERY,1,1,1,Part_SM_LightningBlast_Simple,Part_SM_Cast_Simple,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,SPELL MOD,1,1,1,Part_SM_LightningBlast_Mod_01,"Part_SM_LightningBlast_Channel, Part_SM_LightningBlast_Simple",
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,SPELL ENHANCEMENT,1,1,1,Part_SM_Enh_CritDamage_Unique,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,ELEMENT,1,1,1,Part_SM_Element_Shock,,"Part_SM_Eruption_Channel, Part_SM_Eruption_Repeating, Part_SM_Eruption_SelfCast, Part_SM_Eruption_Simple, Part_SM_Fireball_Channel, Part_SM_Fireball_Repeat, Part_SM_Fireball_Simple, Part_SM_Fissure_Self, Part_SM_IceSpike_Repeat, Part_SM_IceSpike_Simple, Part_SM_Meteor_Simple"
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,RARITY,1,1,1,Part_SM_Rarity_03_Rare,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v1,MATERIAL,1,1,1,Part_SM_Material_03_Rare,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,Body,1,1,1,Part_SM_Cast_Simple,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,DELIVERY,1,1,1,Part_SM_LightningBlast_Simple,Part_SM_Cast_Simple,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,SPELL MOD,1,1,1,Part_SM_LightningBlast_Mod_01,"Part_SM_LightningBlast_Channel, Part_SM_LightningBlast_Simple",
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,SPELL ENHANCEMENT,2,2,1,Part_SM_Enh_CritDamage_Unique,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,SPELL ENHANCEMENT,2,2,1,Part_SM_Enh_CritDamage_Unique,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,ELEMENT,1,1,1,Part_SM_Element_Shock,,"Part_SM_Eruption_Channel, Part_SM_Eruption_Repeating, Part_SM_Eruption_SelfCast, Part_SM_Eruption_Simple, Part_SM_Fireball_Channel, Part_SM_Fireball_Repeat, Part_SM_Fireball_Simple, Part_SM_Fissure_Self, Part_SM_IceSpike_Repeat, Part_SM_IceSpike_Simple, Part_SM_Meteor_Simple"
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,RARITY,1,1,1,Part_SM_Rarity_04_VeryRare,,
AncientPowers,,Named Spell,Balance_Spell_AncientPowers_v2,MATERIAL,1,1,1,Part_SM_Material_04_VeryRare,,
