Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_Barbarian,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_GunMage,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_KotC,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_Necromancer,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_Ranger,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_Rogue,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,ELEMENT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ElementalDmg/Part_Amulet_Ele_NonElemental,,
,01/Common,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_01_Common,RARITY,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/Rarity/Part_Amulet_01_Common,,
,02/Uncommon,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_02_Uncommon,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_Barbarian,,
,02/Uncommon,\Game\Gear\Amulets\_Shared\_Design\Balance\Balance_Amulets_02_Uncommon,CLASS STAT,1,1,1,/Game/Gear/Amulets/_Shared/_Design/Parts/ClassStat/Part_Amulet_ClassStat_GunMage,,
