Manufacturer/Name,Gun Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY,2,2,1,Part_AR_COV_Body,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY,2,2,1,Part_AR_COV_Bottle,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,Part_AR_COV_Body_A,Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,Part_AR_COV_Body_B,Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,Part_AR_COV_Body_C,Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,Part_AR_COV_Barrel_01,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,Part_AR_COV_Barrel_02,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,Part_AR_COV_Barrel_03,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,3,Part_AR_COV_Barrel_04,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_01_A,,"Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_01_B,,"Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_01_C,,"Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_02_A,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_02_B,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_02_C,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_03_A,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_03_B,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_03_C,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_02_D,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_03, Part_AR_COV_Barrel_04"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_04_A,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_04_B,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,Part_AR_COV_Barrel_04_C,,"Part_AR_COV_Barrel_01, Part_AR_COV_Barrel_02, Part_AR_COV_Barrel_03"
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,STARTER,1,1,1,Part_AR_COV_Starter_01,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,STARTER,1,1,1,Part_AR_COV_Starter_02,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,STARTER,1,1,1,Part_AR_COV_Starter_03,,
