Name,Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,Body,1,1,1,Part_SM_Cast_Simple,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,DELIVERY,1,1,1,Part_SM_ArcaneBolt,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CooldownRate_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CooldownRate_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CooldownRate_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CritChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CritChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CritChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CritDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CritDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CritDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_Radius_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_Radius_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_Radius_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_SpellDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_SpellDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_SpellDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_StatusChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_StatusChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_StatusChance_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_StatusDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_StatusDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_StatusDamage_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_SpellCharges_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_SpellCharges_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_ExtraProjectiles_Unique,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,ELEMENT,1,1,1,Part_SM_Element_Cold,,"Part_SM_ElementalHawk_Channel, Part_SM_ElementalHawk_Simple, Part_SM_Eruption_Channel, Part_SM_Eruption_Repeating, Part_SM_Eruption_SelfCast, Part_SM_Eruption_Simple, Part_SM_Fireball_Channel, Part_SM_Fireball_Repeat, Part_SM_Fireball_Simple, Part_SM_Fissure_Self, Part_SM_LightningBlast_Channel, Part_SM_LightningBlast_Repeat, Part_SM_LightningBlast_Simple"
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,ELEMENT,1,1,1,Part_SM_Element_Dark,,"Part_SM_CircleOfProtection_SelfCast, Part_SM_Fireball_Mod_03, Part_SM_Fireball_Mod_05_Fire, Part_SM_Hydra_Simple, Part_SM_IceSpike_Repeat, Part_SM_IceSpike_Simple, Part_SM_LightningBlast_Channel, Part_SM_LightningBlast_Repeat, Part_SM_LightningBlast_Simple"
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,ELEMENT,1,1,1,Part_SM_Element_Shock,,"Part_SM_Eruption_Channel, Part_SM_Eruption_Repeating, Part_SM_Eruption_SelfCast, Part_SM_Eruption_Simple, Part_SM_Fireball_Channel, Part_SM_Fireball_Repeat, Part_SM_Fireball_Simple, Part_SM_Fissure_Self, Part_SM_IceSpike_Repeat, Part_SM_IceSpike_Simple, Part_SM_Meteor_Simple"
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,RARITY,1,1,1,Part_SM_Rarity_05_Legendary,,
ArcaneBolt,,Named Spell,Balance_Spell_ArcaneBolt,MATERIAL,1,1,1,Part_SM_Material_ArcaneBolt,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,Body,1,1,1,Part_SM_Cast_Channel,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,DELIVERY,1,1,1,Part_SM_Barrelmaker,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CooldownRate_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CooldownRate_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CooldownRate_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CritChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CritChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CritChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_CritDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_CritDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_CritDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_Radius_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_Radius_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_Radius_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_SpellDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_SpellDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_SpellDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_StatusChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_StatusChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.5,Part_SM_Enh_StatusChance_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,1,Part_SM_Enh_StatusDamage_Unique,,
Barrelmaker,,Named Spell,Balance_Spell_Barrelmaker,SPELL ENHANCEMENT,2,3,0.7,Part_SM_Enh_StatusDamage_Unique,,
